date,open,close,ma5,ma10,ma5_up_10,ma5_down_10,ma5_up_10_earning,ma5_down_10_earning
2015-07-29,8381.421,8611.221,8713.615,8753.621,,,0.0,0.0
2015-07-28,8020.484,8250.613,8803.181,8704.223,,,0.0,0.0
2015-07-27,8884.233,8370.605,8953.002,8734.737,,,0.0,0.0
2015-07-24,9278.572,9075.246,9056.906,8736.756,,,0.0,0.0
2015-07-23,9061.317,9260.392,8990.286,8629.379,,,0.0,0.0
2015-07-22,8982.082,9059.048,8793.627,8471.061,,,0.0,0.0
2015-07-21,8806.014,8999.72,8605.265,8307.865,,,0.0,0.0
2015-07-20,8823.335,8890.123,8516.472,8161.011,,,0.0,0.0
2015-07-17,8361.311,8742.147,8416.606,8074.817,,,0.0,0.0
2015-07-16,7990.843,8277.098,8268.471,8007.409,True,,735.205,0.0
2015-07-15,8589.234,8117.238,8148.494,8023.775,,,0.0,0.0
2015-07-14,8564.938,8555.756,8010.465,8100.003,,,0.0,0.0
2015-07-13,8283.757,8390.793,7805.55,8167.675,,,0.0,0.0
2015-07-10,7850.407,8001.471,7733.028,8197.678,,,0.0,0.0
2015-07-09,7399.488,7677.212,7746.347,8328.132,,,0.0,0.0
2015-07-08,7254.631,7427.092,7899.056,8576.471,,,0.0,0.0
2015-07-07,7757.293,7531.184,8189.541,8892.323,,,0.0,0.0
2015-07-06,8660.355,8028.182,8529.8,9185.499,,,0.0,0.0
2015-07-03,8198.979,8068.065,8662.327,9410.035,,,0.0,0.0
2015-07-02,8865.253,8440.759,8909.917,9692.996,,,0.0,0.0
2015-07-01,9131.827,8879.517,9253.886,9987.458,,,0.0,0.0
2015-06-30,8488.251,9232.477,9595.104,10222.578,,,0.0,0.0
2015-06-29,9486.564,8690.817,9841.198,10469.593,,,0.0,0.0
2015-06-26,9823.63,9306.016,10157.743,10800.163,,,0.0,0.0
2015-06-25,10606.79,10160.601,10476.075,11063.033,,,0.0,0.0
2015-06-24,10540.458,10585.61,10721.031,11221.593,,,0.0,0.0
2015-06-23,10265.057,10462.947,10850.052,11313.418,,,0.0,0.0
2015-06-19,10719.321,10273.54,11097.988,11420.2,,True,0.0,1383.417
2015-06-18,11332.573,10897.676,11442.584,11564.667,,,0.0,0.0
2015-06-17,11232.94,11385.381,11649.991,11642.781,,,0.0,0.0
2015-06-16,11547.957,11230.714,11722.155,11683.088,,,0.0,0.0
2015-06-15,12059.013,11702.627,11776.784,11749.64,,,0.0,0.0
2015-06-12,11962.637,11996.52,11742.413,11729.391,,,0.0,0.0
2015-06-11,11777.822,11934.713,11686.75,11626.95,,,0.0,0.0
2015-06-10,11454.991,11746.203,11635.57,11518.634,,,0.0,0.0
