,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma5_crossdown_20,ma_cross_earnings
186,4895.922,4951.332,4951.992,4870.602,4770.8,4732.85,4703.55,,4406.3298,-489.5922,,,
187,4768.692,4840.982,4841.612,4746.032,4703.9,4693.55,4693.025,,4291.8228,-476.8692,,,
188,4751.572,4754.922,4843.102,4745.212,4675.9,4656.45,4687.975,,4276.4148,-475.1572,,True,
189,4577.642,4731.222,4740.001,4577.642,4668.6,4636.25,4681.175,,4119.8778,-457.7642,,,
190,4582.062,4575.142,4623.381,4565.062,4671.9,4622.85,4670.725,,4123.8558,-458.2062,,,
191,4690.751,4617.472,4690.751,4592.051,4694.9,4644.1,4671.75,,4221.6759,-469.0751,True,,-469.0751
192,4717.961,4700.781,4735.281,4670.171,4683.2,4657.35,4666.575,,4246.1649,-471.7961,,,
193,4746.711,4718.441,4758.001,4678.852,4637,4664.7,4650.55,,4272.0399,-474.6711,,,
194,4692.122,4747.421,4748.001,4660.021,4603.9,4667.05,4636.55,,4222.9098,-469.2122,,,
195,4582.092,4690.532,4690.952,4535.152,4573.8,4673.05,4620.225,,4123.8828,-458.2092,,True,
196,4515.552,4558.402,4559.062,4445.592,4593.3,4674.25,4602.925,,4063.9968,-451.5552,,,
197,4520.822,4470.092,4546.342,4467.462,4631.5,4692.5,4588.1,,4068.7398,-452.0822,,,
198,4626.231,4553.332,4700.912,4511.761,4692.4,4719.5,4579.375,,4163.6079,-462.6231,,,
199,4785.191,4596.841,4785.191,4572.981,4730.2,4726.1,4564.725,2839.291,4306.6719,-478.5191,,,
200,4757.641,4787.741,4795.921,4699.401,4772.3,4718.6,4543.425,2839.291,4281.8769,-475.7641,,,
201,4788.411,4749.891,4818.731,4749.481,4755.2,4699.4,4510.25,2839.291,4309.5699,-478.8411,,,
202,4722.901,4774.331,4797.931,4695.791,4753.5,4675.8,4478.975,2839.291,4250.6109,-472.2901,,,
203,4811.321,4741.861,4839.081,4703.571,4746.6,4636.4,4442.8,2839.291,4330.1889,-481.1321,,,
204,4753.871,4807.591,4810.48,4735.311,4722,4606.05,4410.125,2839.291,4278.4839,-475.3871,,,
205,4682.631,4702.641,4730.431,4618.321,4664.9,4567.4,4368.325,2839.291,4214.3679,-468.2631,,,
206,4764.48,4740.891,4782.041,4693.971,4643.6,4531.6,4330.7,2839.291,4288.032,-476.448,,,
207,4637.061,4739.811,4740.931,4632.59,4598.1,4483.7,4290.675,2839.291,4173.3549,-463.7061,,,
208,4520.46,4619.161,4620.061,4504.561,4526.2,4439.25,4252.325,2839.291,4068.414,-452.046,,,
