date,close,ma5,ma10,ma20,gt_ma,earning,earning2
2015-08-20,12.26,12.878,13.345,13.107,False,0.0,-2.1
2015-08-19,12.78,13.158,13.455,13.186,False,0.0,-3.08
2015-08-18,12.28,13.284,13.513,13.212,False,0.0,-2.13
2015-08-17,13.53,13.61,13.649,13.269,False,0.0,-2.25
2015-08-14,13.54,13.756,13.582,13.262,False,0.0,-1.01
2015-08-13,13.66,13.812,13.474,13.249,False,0.0,-1.4
2015-08-12,13.41,13.752,13.357,13.18,False,0.0,-0.63
2015-08-11,13.91,13.742,13.296,13.1,True,-1.63,0.0
2015-08-10,14.26,13.688,13.122,13.035,True,-0.73,0.0
2015-08-07,13.82,13.408,12.906,12.895,True,-0.28,0.0
2015-08-06,13.36,13.136,12.868,12.725,True,0.3,0.0
2015-08-05,13.36,12.962,12.917,12.636,True,0.05,0.0
2015-08-04,13.64,12.85,12.911,12.526,True,0.27,0.0
2015-08-03,12.86,12.556,12.889,12.445,True,1.4,0.0
2015-07-31,12.46,12.404,12.941,12.427,True,1.36,0.0
2015-07-30,12.49,12.6,13.024,12.453,False,0.0,0.87
2015-07-29,12.8,12.872,13.002,12.436,False,0.0,0.56
2015-07-28,12.17,12.972,12.904,12.471,False,0.0,1.47
2015-07-27,12.1,13.222,12.948,12.612,False,0.0,0.76
2015-07-24,13.44,13.478,12.884,12.811,False,0.0,-0.98
2015-07-23,13.85,13.448,12.582,12.92,True,-1.36,0.0
2015-07-22,13.3,13.132,12.355,13.015,True,-0.5,0.0
2015-07-21,13.42,12.836,12.141,13.225,True,-1.25,0.0
2015-07-20,13.38,12.674,12.0,13.481,True,-1.28,0.0
2015-07-17,13.29,12.29,11.912,13.798,True,0.15,0.0
2015-07-16,12.27,11.716,11.881,14.053,True,1.58,0.0
2015-07-15,11.82,11.578,11.869,14.32,True,1.48,0.0
2015-07-14,12.61,11.446,12.037,14.601,True,0.81,0.0
2015-07-13,11.46,11.326,12.276,14.852,True,1.92,0.0
2015-07-07,10.42,11.534,12.738,15.155,False,0.0,2.87
2015-07-06,11.58,12.046,13.258,15.519,False,0.0,0.69
2015-07-03,11.16,12.16,13.675,15.874,False,0.0,0.66
2015-07-02,12.01,12.628,14.309,16.255,False,0.0,0.6
2015-07-01,12.5,13.226,14.961,16.587,False,0.0,-1.04
2015-06-30,12.98,13.942,15.683,16.922,False,0.0,-2.56
2015-06-29,12.15,14.47,16.225,17.158,False,0.0,-0.57
2015-06-26,13.5,15.19,16.771,17.388,False,0.0,-2.34
2015-06-25,15.0,15.99,17.164,17.549,False,0.0,-2.99
2015-06-24,16.08,16.696,17.427,17.727,False,0.0,-3.58
2015-06-23,15.62,17.424,17.572,19.36,False,0.0,-2.64
2015-06-19,15.75,17.98,17.78,20.834,False,0.0,-3.6
2015-06-18,17.5,18.352,18.072,22.333,False,0.0,-4.0
2015-06-17,18.53,18.338,18.2,23.697,True,-3.53,0.0
2015-06-16,19.72,18.158,18.213,24.869,True,-3.64,0.0
2015-06-15,18.4,17.72,18.16,25.864,True,-2.78,0.0
2015-06-12,17.61,17.58,18.091,26.821,True,-1.86,0.0
2015-06-11,17.43,17.792,18.005,27.651,False,0.0,0.07
2015-06-10,17.63,18.062,17.933,28.529,False,0.0,0.9
2015-06-09,17.53,18.268,18.026,29.423,False,0.0,2.19
2015-06-08,17.7,18.6,21.147,30.257,False,0.0,0.7
2015-06-05,18.67,18.602,23.887,31.075,True,-1.06,0.0
2015-06-04,18.78,18.218,26.594,31.754,True,-1.35,0.0
2015-06-03,18.66,17.804,29.194,32.363,True,-1.03,0.0
2015-06-02,19.19,17.784,31.525,33.085,True,-1.66,0.0
2015-06-01,17.71,23.694,33.568,33.766,False,0.0,-0.01
2015-05-29,16.75,29.172,35.551,34.542,False,0.0,1.92
2015-05-28,16.71,34.97,37.296,35.379,False,0.0,2.07
2015-05-27,18.56,40.584,39.124,36.187,False,0.0,0.1
2015-05-26,48.74,45.266,40.82,36.87,True,-29.55,0.0
