,avge,count,days,ma,scope,sum
598,361.182836667,54,150,"('ma5', 'ma20')",0.23,19503.87318
131,396.808676735,49,370,"('ma10', 'ma20')",0.08,19443.62516
191,385.576816,50,330,"('ma10', 'ma20')",0.1,19278.8408
34,343.715156071,56,100,"('ma5', 'ma20')",0.06,19248.04874
38,346.381365455,55,150,"('ma10', 'ma20')",0.06,19050.9751
121,379.3906984,50,310,"('ma5', 'ma20')",0.08,18969.53492
33,152.357017742,124,100,"('ma5', 'ma10')",0.06,18892.2702
92,376.6831134,50,330,"('ma10', 'ma20')",0.07,18834.15567
161,383.75747,49,350,"('ma10', 'ma20')",0.09,18804.11603
4,348.221696296,54,150,"('ma5', 'ma20')",0.05,18803.9716
467,340.274172909,55,150,"('ma10', 'ma20')",0.19,18715.07951
169,341.218487037,54,150,"('ma5', 'ma20')",0.1,18425.7983
224,368.118197,50,330,"('ma10', 'ma20')",0.11,18405.90985
466,340.574395926,54,150,"('ma5', 'ma20')",0.19,18391.01738
98,373.450874898,49,370,"('ma10', 'ma20')",0.07,18299.09287
124,369.880100408,49,330,"('ma5', 'ma20')",0.08,18124.12492
194,369.440032653,49,350,"('ma10', 'ma20')",0.1,18102.5616
35,315.414703509,57,100,"('ma10', 'ma20')",0.06,17978.6381
530,313.751519825,57,100,"('ma10', 'ma20')",0.21,17883.83663
164,360.235110816,49,370,"('ma10', 'ma20')",0.09,17651.52043
227,358.688247551,49,350,"('ma10', 'ma20')",0.11,17575.72413
68,307.263212632,57,100,"('ma10', 'ma20')",0.07,17514.00312
67,309.365813036,56,100,"('ma5', 'ma20')",0.07,17324.48553
99,139.707690645,124,100,"('ma5', 'ma10')",0.08,17323.75364
563,302.404467719,57,100,"('ma10', 'ma20')",0.22,17237.05466
1,307.330604464,56,100,"('ma5', 'ma20')",0.05,17210.51385
433,312.116175556,54,150,"('ma5', 'ma20')",0.18,16854.27348
202,311.003398704,54,150,"('ma5', 'ma20')",0.11,16794.18353
596,291.057415614,57,100,"('ma10', 'ma20')",0.23,16590.27269
101,290.675932632,57,100,"('ma10', 'ma20')",0.08,16568.52816
429,132.820573871,124,100,"('ma5', 'ma10')",0.18,16469.75116
0,132.410740323,124,100,"('ma5', 'ma10')",0.05,16418.9318
497,283.916312281,57,100,"('ma10', 'ma20')",0.2,16183.2298
400,298.443478889,54,150,"('ma5', 'ma20')",0.17,16115.94786
197,328.70884898,49,370,"('ma10', 'ma20')",0.1,16106.7336
629,279.710363509,57,100,"('ma10', 'ma20')",0.24,15943.49072
230,321.178872041,49,370,"('ma10', 'ma20')",0.11,15737.76473
268,290.015678333,54,150,"('ma5', 'ma20')",0.13,15660.84663
235,288.638794074,54,150,"('ma5', 'ma20')",0.12,15586.49488
100,275.01647,56,100,"('ma5', 'ma20')",0.08,15400.92232
301,280.378094815,54,150,"('ma5', 'ma20')",0.14,15140.41712
165,121.060533065,124,100,"('ma5', 'ma10')",0.1,15011.5061
134,259.754438947,57,100,"('ma10', 'ma20')",0.09,14806.00302
133,261.850894464,56,100,"('ma5', 'ma20')",0.09,14663.65009
200,255.94150807,57,100,"('ma10', 'ma20')",0.11,14588.66596
132,117.446180484,124,100,"('ma5', 'ma10')",0.09,14563.32638
167,255.441959649,57,100,"('ma10', 'ma20')",0.1,14560.1917
334,269.286988889,54,150,"('ma5', 'ma20')",0.15,14541.4974
332,254.222347368,57,100,"('ma10', 'ma20')",0.15,14490.6738
233,251.932661053,57,100,"('ma10', 'ma20')",0.12,14360.16168
365,250.516003509,57,100,"('ma10', 'ma20')",0.16,14279.4122
464,247.870129649,57,100,"('ma10', 'ma20')",0.19,14128.59739
266,247.670962456,57,100,"('ma10', 'ma20')",0.13,14117.24486
496,249.850703571,56,100,"('ma5', 'ma20')",0.2,13991.6394
529,249.579311786,56,100,"('ma5', 'ma20')",0.21,13976.44146
166,245.500757143,56,100,"('ma5', 'ma20')",0.1,13748.0424
431,240.76180386,57,100,"('ma10', 'ma20')",0.18,13723.42282
299,233.634620702,57,100,"('ma10', 'ma20')",0.14,13317.17338
562,237.107637857,56,100,"('ma5', 'ma20')",0.22,13278.02772
398,232.898017544,57,100,"('ma10', 'ma20')",0.17,13275.187
367,243.622536296,54,150,"('ma5', 'ma20')",0.16,13155.61696
363,101.633341935,124,100,"('ma5', 'ma10')",0.16,12602.5344
595,224.635963929,56,100,"('ma5', 'ma20')",0.23,12579.61398
628,222.747237857,56,100,"('ma5', 'ma20')",0.24,12473.84532
463,220.414103214,56,100,"('ma5', 'ma20')",0.19,12343.18978
198,97.7834904839,124,100,"('ma5', 'ma10')",0.11,12125.15282
199,214.05364,56,100,"('ma5', 'ma20')",0.11,11987.00384
397,212.976841607,56,100,"('ma5', 'ma20')",0.17,11926.70313
396,94.286845,124,100,"('ma5', 'ma10')",0.17,11691.56878
430,203.830525714,56,100,"('ma5', 'ma20')",0.18,11414.50944
232,182.606522857,56,100,"('ma5', 'ma20')",0.12,10225.96528
330,80.7847576613,124,100,"('ma5', 'ma10')",0.15,10017.30995
231,80.2326870968,124,100,"('ma5', 'ma10')",0.12,9948.8532
297,78.7729290323,124,100,"('ma5', 'ma10')",0.14,9767.8432
265,170.581769643,56,100,"('ma5', 'ma20')",0.13,9552.5791
298,168.450977143,56,100,"('ma5', 'ma20')",0.14,9433.25472
331,160.043042857,56,100,"('ma5', 'ma20')",0.15,8962.4104
264,65.8521665323,124,100,"('ma5', 'ma10')",0.13,8165.66865
364,135.582220714,56,100,"('ma5', 'ma20')",0.16,7592.60436
