,date,open,close,high,low,ma5,ma10,ma20,ma60,ma1_crossup_2,ma1_crossdown_2
605,,2338.563,2318.313,2342.323,2308.153,2321.9,2317,2310.775,2291.092,2338.563,0.0
610,,2302.673,2303.933,2329.143,2297.023,2312.1,2322.95,2281.675,2316.442,0.0,2303.933
632,,2211.592,2265.852,2276.742,2206.762,2237.3,2263.8,2229.1,2410.567,0.0,2265.852
639,,2319.022,2275.372,2331.992,2274.072,2230.4,2224,2248.425,2436.142,2319.022,0.0
640,,2232.162,2326.692,2351.222,2232.162,2220.8,2216.6,2255.525,2439.517,0.0,2326.692
644,,2227.352,2226.852,2252.032,2225.052,2217.6,2195.45,2310.3,2457.083,2227.352,0.0
662,,2552.821,2527.851,2557.681,2525.311,2572.6,2598.1,2581.15,2538.008,0.0,2527.851
682,,2542.371,2527.791,2543.301,2507.791,2523.9,2492.95,2486.425,2568.475,2542.371,0.0
686,,2457.541,2492.911,2521.121,2457.541,2470.7,2479.1,2476.875,2578.092,0.0,2492.911
691,,2532.201,2449.471,2532.201,2448.201,2487.5,2475.9,2497.5,2588.358,2532.201,0.0
705,,2486.431,2493.191,2507.821,2483.731,2529.3,2562.8,2568.975,2601.383,0.0,2493.191
710,,2628.41,2613.1,2641.61,2607.61,2596.3,2564.15,2589.15,2591.342,2628.41,0.0
718,,2551.731,2527.491,2556.771,2515.061,2580.4,2606.3,2634.725,2557.075,0.0,2527.491
719,,2590.391,2555.621,2619.511,2530.251,2605,2613,2647.15,2552.4,2590.391,0.0
720,,2600.281,2592.371,2611.651,2574.17,2618.3,2614.15,2657.925,2546.525,0.0,2592.371
723,,2634.87,2650.2,2658.14,2620.43,2632.2,2613.55,2675.925,2523.683,2634.87,0.0
732,,2675.74,2610.551,2675.74,2584.76,2701.6,2730.65,2678.75,2455.617,0.0,2610.551
778,,2203.89,2246.76,2250.53,2198.11,2179.7,2160.95,2178.625,2245.392,2203.89,0.0
796,,2250.84,2212.44,2250.84,2208.72,2247.6,2269.15,2281.85,2272.233,0.0,2212.44
801,,2301.98,2292.21,2304.05,2260.51,2290.7,2277.6,2296.175,2283.433,2301.98,0.0
807,,2241.8,2235.85,2248.14,2227.65,2278.9,2300.4,2288,2291.117,0.0,2235.85
822,,2291.96,2270.05,2305.18,2258.11,2242,2230.2,2253.625,2313.9,2291.96,0.0
829,,2236.19,2195.95,2236.19,2194.22,2250.3,2282.6,2252.5,2339.817,0.0,2195.95
837,,2320.56,2326.67,2334.5,2313.57,2253.2,2236.4,2270.15,2369.933,2320.56,0.0
854,,2327.913,2319.673,2335.403,2317.063,2352,2368.95,2362.425,2461.533,0.0,2319.673
860,,2390.963,2389.793,2405.183,2382.823,2370.6,2357.7,2381.475,2485.25,2390.963,0.0
881,,2411.003,2406.713,2426.533,2402.373,2438.1,2445.9,2491.225,2572.933,0.0,2406.713
882,,2455.893,2416.043,2470.213,2414.953,2450.6,2450.75,2498.8,2575.667,2455.893,0.0
891,,2442.563,2454.923,2465.123,2434.643,2507,2536.55,2561.175,2582.917,0.0,2454.923
896,,2576.633,2581.213,2593.223,2572.993,2566.1,2557.15,2585.8,2588.408,2576.633,0.0
904,,2564.233,2557.403,2573.743,2547.333,2588,2601.6,2606.875,2598.808,0.0,2557.403
911,,2562.604,2614.694,2614.854,2545.344,2605.5,2599.5,2635.3,2603.208,2562.604,0.0
920,,2597.643,2617.373,2618.183,2591.603,2636.9,2670.25,2636.775,2600.817,0.0,2617.373
941,,2522.832,2570.442,2570.842,2516.572,2525,2505.8,2552.4,2543.342,2522.832,0.0
957,,2591.802,2623.522,2624.322,2577.252,2629.9,2633.65,2627.9,2490.333,0.0,2623.522
959,,2694.482,2605.112,2705.752,2595.342,2648.1,2644.1,2621.1,2483.842,2694.482,0.0
963,,2612.402,2635.792,2645.952,2612.402,2640.5,2643.7,2597.725,2474.325,0.0,2635.792
999,,2444.762,2435.612,2453.152,2423.322,2363.7,2338.7,2353.725,2534.392,2444.762,0.0
1039,,2717.542,2750.202,2751.882,2714.862,2724.8,2730.85,2671.375,2718.267,0.0,2750.202
1050,,2694.542,2709.022,2729.142,2689.382,2644,2609.05,2609.5,2749.488,2694.542,0.0
1054,,2517.062,2576.672,2581.132,2501.962,2556,2596.05,2618.125,2770.879,0.0,2576.672
1059,,2658.952,2666.952,2687.102,2653.382,2636.1,2615.55,2658.9,2815.154,2658.952,0.0
1083,,2780.832,2743.822,2780.832,2743.382,2814.2,2835.975,2842.275,2957.133,0.0,2743.822
1087,,2875.142,2841.742,2901.732,2838.332,2861.95,2843.65,2861.15,2967.867,2875.142,0.0
1092,,2788.701,2821.001,2821.001,2777.292,2825.35,2850.85,2890.025,2978.571,0.0,2821.001
1095,,2887.102,2834.251,2890.001,2832.271,2882.2,2859.15,2920.4,2986.733,2887.102,0.0
1114,,3066.192,3067.992,3083.192,3059.602,3087.3,3095.75,3084.938,3051.692,0.0,3067.992
1116,,3113.711,3091.572,3119.542,3071.851,3110.75,3104.1,3077.825,3056.913,3113.711,0.0
1119,,3105.501,3128.891,3130.771,3097.342,3104.2,3109,3047,3066.204,0.0,3128.891
1132,,3040.181,3041.731,3046.801,3014.001,2994.4,2952.875,2967.363,3116.15,3040.181,0.0
1142,,2947.661,2993.561,3000.531,2943.531,2973.3,2981.85,3012.587,3164.975,0.0,2993.561
1146,,3003.581,3008.651,3012.811,2965.921,2991.8,2984.725,3043.462,3183.387,3003.581,0.0
1178,,3312.27,3317.37,3330.24,3301.94,3325.45,3336.65,3305.663,3214.921,0.0,3317.37
1187,,3321.54,3353.36,3353.89,3314.09,3297,3283.55,3259.3,3179.483,3321.54,0.0
1188,,3313.47,3324.42,3330.8,3302.82,3277.5,3274.675,3258.563,3176.521,0.0,3324.42
1195,,3256.18,3294.48,3304.26,3254.68,3248.2,3236.875,3256.863,3156.779,3256.18,0.0
1202,,3204.92,3248.2,3250.88,3202.93,3248.55,3274.575,3246.313,3154.817,0.0,3248.2
1211,,3248.16,3221.72,3271.64,3221.04,3231.4,3215.6,3177.2,3140.529,3248.16,0.0
1215,,3190.87,3197.62,3213.79,3159.85,3197,3212.8,3124.125,3135.508,0.0,3197.62
1229,,3035.42,3076.51,3076.55,3032.45,3011.35,2996.15,3061.8,3160.454,3035.42,0.0
1240,,3129.67,3091.86,3129.67,3083.51,3121.7,3142.85,3145.988,3242.604,0.0,3091.86
1245,,3156.36,3166.62,3209.9,3141.13,3164,3125.35,3174.1,3262.146,3156.36,0.0
1254,,3170.64,3162.96,3187.72,3139.45,3199.05,3222.975,3191.45,3250.438,0.0,3162.96
1264,,3107.378,3161.979,3172.158,3101.078,3164.6,3159.925,3169.45,3198.392,3107.378,0.0
1269,,3161.928,3158.158,3171.378,3134.418,3155.25,3165.075,3246.975,3179.404,0.0,3158.158
1272,,3187.528,3136.988,3205.778,3060.438,3184.5,3163.225,3295.587,3166.529,3187.528,0.0
1282,,3311.618,3169.538,3311.618,3155.478,3357.05,3427.95,3424.725,3122.863,0.0,3169.538
1309,,2965.648,3044.228,3055.838,2963.238,2928.1,2898.025,2921.563,2848.358,2965.648,0.0
1317,,2908.318,2857.788,2917.848,2834.028,2926.15,2941.675,2914.913,2807.267,0.0,2857.788
1326,,2926.938,2920.208,2929.548,2891.878,2908.75,2890.35,2891.6,2779.163,2926.938,0.0
1331,,2847.448,2858.569,2861.069,2833.418,2871.95,2901.525,2884.813,2763.988,0.0,2858.569
1338,,2945.979,2937.359,2962.749,2924.669,2894.7,2882.325,2863.725,2755.913,2945.979,0.0
1343,,2823.149,2850.209,2864.359,2823.149,2869.95,2875.625,2809.85,2743.738,0.0,2850.209
1364,,2649.66,2634.59,2649.66,2618.34,2622.9,2581.325,2656.825,2833.825,2649.66,0.0
1373,,2572.91,2563.07,2575.82,2546.84,2673.1,2712.725,2728.438,2954.058,0.0,2563.07
1381,,2739.03,2696.17,2755.84,2686.61,2745.95,2736.3,2767.45,3033.079,2739.03,0.0
1389,,2769.1,2736.08,2787.51,2735.7,2772.3,2799.15,2801.738,3102.125,0.0,2736.08
1393,,2885.861,2850.301,2893.691,2835.071,2842.35,2795.475,2852.188,3136.983,2885.861,0.0
1425,,3350.73,3391.72,3401.71,3324.05,3371.2,3377.275,3326.475,3299.975,0.0,3391.72
1439,,3305.55,3275.57,3309.12,3272.92,3282.75,3259.025,3274.087,3329.675,3305.55,0.0
1448,,3304.041,3279.69,3321.081,3267.76,3276.4,3292.65,3249.038,3370.029,0.0,3279.69
1460,,3248.951,3233.341,3261.951,3232.781,3217.7,3198.825,3249.887,3429.012,3248.951,0.0
1462,,3216.691,3220.401,3238.351,3207.171,3181.55,3186.025,3274.825,3442.158,0.0,3220.401
1463,,3195.141,3214.131,3214.461,3182.831,3181.25,3184.675,3287.262,3448.992,3195.141,0.0
1484,,3477.841,3534.921,3535.411,3437.661,3502.05,3524.5,3482.075,3497.733,0.0,3534.921
1492,,3503.821,3558.861,3561.441,3498.381,3480.35,3431.225,3515.15,3453.921,3503.821,0.0
1503,,3594.51,3583.34,3620.32,3578.28,3580.55,3602.725,3585.75,3398.783,0.0,3583.34
1509,,3644.63,3668.83,3672.8,3633.45,3612.3,3561.9,3573.025,3359.413,3644.63,0.0
1515,,3440.34,3382.51,3480.93,3367.29,3542.3,3586.95,3530.637,3295.542,0.0,3382.51
1530,,3491.07,3483.02,3506.03,3474.36,3445.9,3381.525,3335.538,3225.517,3491.07,0.0
1534,,3205.83,3392.8,3394.72,3198.31,3312.85,3348.6,3249.375,3244.533,0.0,3392.8
1547,,3209.06,3227.4,3276.55,3204.31,3149.2,3089.05,3160,3306.242,3209.06,0.0
1556,,3130.14,3060.07,3159.17,3041.42,3183.9,3217.475,3127.1,3347.192,0.0,3060.07
1566,,3188.31,3194.91,3207.39,3143.74,3119.85,3036.725,3116.95,3331.867,3188.31,0.0
1572,,2804.58,2843.7,2901.28,2795.49,3009.9,3075.15,3265.325,3320.292,0.0,2843.7
1574,,3152.04,3046.78,3168.19,3030.73,3143,3138.975,3360.313,3324.208,3152.04,0.0
1587,,3558.65,3556.38,3569.15,3509.72,3612,3656.175,3631.637,3243.704,0.0,3556.38
1636,,2865.73,2939.39,2939.39,2864.71,2828.5,2803.875,2790.712,2590.521,2865.73,0.0
1640,,2757.31,2719.76,2762.81,2718.55,2755.2,2782.925,2742.625,2548.425,0.0,2719.76
1654,,2721.82,2764.98,2771.21,2713.54,2686.9,2620.925,2627.15,2441.575,2721.82,0.0
1661,,2605.7,2572.89,2609.87,2570.38,2625.15,2648.4,2591.988,2384.633,0.0,2572.89
1686,,2337.519,2382.559,2386.229,2331.259,2296.9,2265.05,2261.95,2126.858,2337.519,0.0
1689,,2197.249,2241.609,2247.109,2180.049,2224.8,2234.525,2258.05,2108.396,0.0,2241.609
1693,,2175.309,2240.779,2241.239,2168.319,2264,2226.175,2289.438,2098.325,2175.309,0.0
1703,,2376.699,2301.849,2411.909,2294.519,2326.2,2352.7,2248.5,2042.25,0.0,2301.849
1731,,1894.659,1887.989,1902.799,1873.649,1892.55,1877.075,1943.925,1870.408,1894.659,0.0
1745,,2002.029,2001.419,2030.389,1995.649,1995.5,2020.6,1948.025,1906.708,0.0,2001.419
1754,,1980.439,1982.929,2046.469,1978.139,1899.7,1880.5,1869.9,1918.379,1980.439,0.0
1759,,1961.89,1870.469,1969.02,1870.05,1861.3,1896.275,1809.287,1952.873,0.0,1870.469
1771,,1795.3,1781.36,1824.93,1778.33,1720.4,1690.3,1752.988,2056.91,1795.3,0.0
1793,,1913.27,1906.96,1938.21,1881.67,2031.3,2109.35,2086.731,2441.258,0.0,1906.96
1799,,2143.73,2223.53,2256.27,2139.62,2153.3,2074.238,2157.694,2522.525,2143.73,0.0
1818,,2325.261,2335.861,2363.561,2316.681,2359.625,2388.45,2501.212,2782.546,0.0,2335.861
1820,,2370.531,2331.531,2390.661,2306.941,2422.8,2411.163,2552.637,2824.21,2370.531,0.0
1836,,2816.94,2773.15,2832.9,2767.531,2841.825,2887.462,2886.894,3162.404,0.0,2773.15
1842,,2939.321,2939.201,2967.721,2916.681,2923.125,2872.363,2857.144,3270.421,2939.321,0.0
1847,,2746.541,2815.461,2818.061,2690.071,2821.6,2883.5,2846.775,3335.783,0.0,2815.461
1853,,2970.981,2973.731,3056.911,2950.201,2903.075,2828.175,2863.106,3389.765,2970.981,0.0
1858,,2654.482,2760.612,2807.682,2617.262,2753.275,2820.837,2958.994,3458.74,0.0,2760.612
1860,,2799.202,2698.352,2809.382,2690.182,2851.35,2851.262,3044.038,3492.679,2799.202,0.0
1887,,3732.643,3711.443,3783.853,3704.163,3811.1,3861.488,3846.219,3944.785,0.0,3711.443
1889,,3911.102,3710.822,3946.442,3698.552,3896.975,3886.675,3799.688,3973.577,3911.102,0.0
1893,,3843.472,3975.782,3975.792,3843.472,3907.25,3916.038,3711.056,4043.7,0.0,3975.782
1903,,3740.952,3729.152,3791.772,3711.192,3611.35,3506.075,3606.625,4187.335,3740.952,0.0
1911,,3573.662,3494.022,3583.812,3483.192,3630.425,3677.575,3771.1,4408.698,0.0,3494.022
1914,,3794.302,3783.732,3825.292,3755.012,3792.7,3745.375,3834.775,4517.26,3794.302,0.0
1936,,4393.282,4441.182,4441.182,4315.182,4561.625,4620.65,4708.506,5014.552,0.0,4441.182
1939,,4645.072,4685.032,4746.582,4592.622,4690.05,4644.962,4755.981,5039.283,4645.072,0.0
1946,,4637.601,4515.531,4668.831,4394.591,4704.45,4796.362,4815.612,5049.771,0.0,4515.531
1953,,4846.021,4813.312,4846.021,4742.102,4876.325,4777.85,5023.594,5071.854,4846.021,0.0
1967,,5424.642,5145.731,5434.352,5122.461,5425.6,5537.288,5435.844,5186.519,0.0,5145.731
1984,,5217.561,5216.811,5244.031,5180.591,5101.85,5013.575,4960.888,5226.146,5217.561,0.0
1989,,4827.26,4829.91,4883.0,4799.0,4925.3,4987.837,4892.306,5256.839,0.0,4829.91
1997,,4986.251,4971.061,4999.931,4928.131,4855.275,4813.45,4908.063,5303.181,4986.251,0.0
2017,,5321.862,5093.672,5321.862,5090.962,5319.025,5438.813,5540.625,5357.388,0.0,5093.672
2021,,5514.852,5472.932,5565.662,5448.992,5574.225,5520.05,5623.263,5319.917,5514.852,0.0
2029,,5467.832,5540.092,5541.962,5373.052,5613.35,5694.85,5599.894,5167.817,0.0,5540.092
2039,,5638.632,5675.932,5682.972,5582.772,5539.7,5504.938,5427.331,4865.659,5638.632,0.0
2041,,5479.852,5580.812,5590.852,5479.852,5467.6,5469.612,5399.853,4803.458,0.0,5580.812
2048,,5487.382,5419.272,5498.592,5385.422,5428.475,5355.337,5312.719,4601.837,5487.382,0.0
2052,,5230.652,5349.972,5351.582,5212.032,5269.775,5320.05,5199.919,4503.594,0.0,5349.972
2096,,3825.03,3820.12,3829.68,3773.93,3804.775,3760.506,3898.041,3777.191,3825.03,0.0
2109,,3804.408,3928.208,3929.368,3752.928,4042.425,4098.612,3951.816,3597.998,0.0,3928.208
2118,,4071.739,4118.269,4146.519,4064.148,3945.288,3828.194,3875.519,3387.87,4071.739,0.0
2124,,3406.999,3634.629,3635.149,3246.729,3752.887,3884.925,3813.706,3259.173,0.0,3634.629
2180,,2612.96,2616.17,2619.5,2563.37,2592.988,2542.488,2528.397,2273.209,2612.96,0.0
2185,,2503.82,2475.61,2541.82,2409.72,2491.988,2562.394,2475.259,2203.759,0.0,2475.61
2194,,2498.34,2522.63,2526.23,2489.66,2437.137,2385.2,2425.227,2062.503,2498.34,0.0
2200,,2282.77,2271.8,2304.32,2247.93,2380.438,2448.944,2375.275,1971.915,0.0,2271.8
2270,,1443.11,1446.82,1459.73,1434.81,1435.031,1430.309,1413.298,1342.617,1443.11,0.0
2272,,1439.54,1408.71,1444.92,1403.01,1428.063,1428.938,1406.794,1340.26,0.0,1408.71
2281,,1437.69,1437.24,1443.5,1426.97,1406.938,1390.544,1369.58,1330.459,1437.69,0.0
2283,,1389.07,1403.27,1405.56,1389.04,1378.287,1378.6,1359.809,1329.748,0.0,1403.27
2316,,1243.16,1265.86,1265.86,1239.91,1262,1257.522,1299.5,1339.593,1243.16,0.0
2326,,1292.71,1282.06,1302.89,1278.54,1328.931,1341.478,1366.784,1350.417,0.0,1282.06
2329,,1370.75,1355.55,1379.25,1347.29,1363.037,1359.981,1382.161,1345.827,1370.75,0.0
2338,,1333.74,1357.13,1367.74,1327.59,1390.619,1400.656,1378.173,1313,0.0,1357.13
2355,,1336.84,1333.53,1347.0,1320.41,1322.006,1311.003,1338.739,1227.482,1336.84,0.0
2363,,1320.81,1294.19,1329.83,1293.05,1348.537,1364.619,1350.029,1190.064,0.0,1294.19
2369,,1364.18,1402.88,1403.27,1362.94,1368.881,1351.777,1316.37,1156.486,1364.18,0.0
2372,,1339.9,1366.29,1366.84,1330.63,1326.178,1336.852,1281.662,1139.84,0.0,1366.29
2417,,1024.5,1037.66,1037.91,1019.65,1027.306,1019.397,1031.909,991.205,1024.5,0.0
2425,,1012.58,1009.27,1014.97,999.93,1028.694,1039.175,1034.716,971.852,0.0,1009.27
2432,,1055.95,1047.84,1057.22,1045.97,1043.072,1035.769,1026.783,953.304,1055.95,0.0
2436,,1020.98,1038.82,1038.94,1014.66,1028.522,1029.775,1012.984,942.001,0.0,1038.82
2444,,1033.19,1019.6,1033.19,1017.05,1025.091,1008.888,988.73,920.379,1033.19,0.0
2446,,1034.68,1029.94,1038.5,1019.94,1013.606,996.194,978.871,915.383,0.0,1029.94
2450,,993.74,996.16,997.33,989.34,985.728,980.423,959.205,905.841,993.74,0.0
2451,,991.57,993.34,994.5,987.06,978.781,978.331,954.834,903.836,0.0,993.34
2477,,888.0,889.1,889.22,880.74,882.578,875.542,875.512,894.285,888.0,0.0
2484,,872.93,869.94,875.83,866.37,873.662,876.362,872.813,902.972,0.0,869.94
2491,,868.01,876.23,876.82,866.19,874.925,868.429,872.524,909.256,868.01,0.0
2498,,864.08,862.15,864.25,858.34,870.138,873.625,881.843,916.452,0.0,862.15
2501,,881.51,879.25,884.94,878.68,878.198,876.62,888.295,920.733,881.51,0.0
2516,,902.04,898.74,907.88,897.04,903.728,910.252,924.146,924.008,0.0,898.74
2520,,923.43,916.5,926.01,916.28,916.883,914.295,935.668,919.843,923.43,0.0
2529,,921.51,916.15,927.42,914.81,943.378,953.749,946.827,909.299,0.0,916.15
2543,,949.08,952.72,952.98,944.63,937.591,931.777,935.503,894.808,949.08,0.0
2552,,931.81,923.41,931.81,915.03,930.077,938.263,922.449,884.17,0.0,923.41
2573,,858.33,856.86,860.95,854.28,847.759,846.042,852.386,873.098,858.33,0.0
2574,,847.54,859.69,867.16,842.99,842.984,842.766,855.344,874.318,0.0,859.69
2577,,831.5,835.61,840.14,829.28,841.084,839.812,862.654,879.112,831.5,0.0
2588,,855.32,855.93,856.1,842.81,879.346,890.146,888.042,           ,0.0,855.93
2595,,900.06,893.57,904.9,892.83,895.398,889.412,871.189,           ,900.06,0.0
2597,,906.31,896.17,906.31,894.39,885.768,891.827,867.767,           ,0.0,896.17
2604,,911.94,894.56,911.94,889.1,877.841,857.471,864.433,           ,911.94,0.0
2634,,942.91,939.1,947.91,934.96,952.722,969.968,           ,           ,0.0,939.1
