date,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma_cross_earnings
2015-04-20,4615.034,4521.919,4671.168,4492.6,4490.06,4403.377,4219.979,2952.008,4384.2823,-230.7517,,
2015-04-17,4578.679,4596.136,4630.27,4553.904,4469.89,4368.239,4188.512,2952.008,4349.74505,-228.93395,,
2015-04-16,4355.491,4513.546,4513.765,4335.63,4419.546,4321.103,4150.692,2952.008,4137.71645,-217.77455,,
2015-04-15,4439.314,4380.513,4475.997,4379.609,4369.265,4282.138,4117.317,2952.008,4217.3483,-221.9657,,
2015-04-14,4432.126,4438.184,4474.353,4385.908,4352.323,4249.207,4086.148,2952.008,4210.5197,-221.6063,,
2015-04-13,4394.047,4421.073,4432.024,4361.589,4316.695,4214.207,4049.522,2952.008,4174.34465,-219.70235,,
2015-04-10,4249.383,4344.416,4351.687,4231.196,4266.588,4169.269,4009.351,2952.008,4036.91385,-212.46915,,
2015-04-09,4316.958,4262.138,4332.166,4212.611,4222.66,4129.827,3971.773,2952.008,4101.1101,-215.8479,,
2015-04-08,4277.45,4295.803,4304.78,4204.826,4195.011,4097.655,3934.898,2952.008,4063.5775,-213.8725,,
2015-04-07,4213.894,4260.044,4260.471,4197.019,4146.091,4065.379,3896.139,2952.008,4003.1993,-210.6947,,
2015-04-03,4104.672,4170.538,4170.558,4092.383,4111.718,4036.581,3860.024,2952.008,3899.4384,-205.2336,,
2015-04-02,4149.946,4124.776,4156.842,4068.649,4071.95,4008.784,3825.423,2952.008,3942.4487,-207.4973,,
2015-04-01,4057.501,4123.895,4139.499,4046.939,4036.995,3980.281,3794.002,2952.008,3854.62595,-202.87505,,
2015-03-31,4138.885,4051.204,4166.018,4037.771,4000.298,3952.496,3764.348,2952.008,3931.94075,-206.94425,,
2015-03-30,3999.024,4088.178,4101.651,3999.024,3984.666,3923.088,3737.183,2952.008,3799.0728,-199.9512,,
2015-03-27,3957.542,3971.697,3993.032,3932.87,3961.443,3884.838,3712.837,2952.008,3759.6649,-197.8771,,
2015-03-26,3921.745,3949.999,3991.997,3892.878,3945.618,3849.434,3692.894,2952.008,3725.65775,-196.08725,,
2015-03-25,3961.578,3940.412,3980.716,3913.988,3923.566,3813.718,3673.709,2952.008,3763.4991,-198.0789,,
2015-03-24,3980.066,3973.046,3989.858,3883.782,3904.695,3772.142,3650.625,2952.008,3781.0627,-199.0033,,
2015-03-23,3923.083,3972.061,3972.296,3922.21,3861.51,3726.899,3628.089,2952.008,3726.92885,-196.15415,,
2015-03-20,3852.492,3892.574,3916.863,3832.416,3808.232,3683.468,3605.602,2952.008,3659.8674,-192.6246,,
2015-03-19,3851.249,3839.739,3859.126,3809.706,3753.249,3642.062,3585.947,2952.008,3658.68655,-192.56245,,
2015-03-18,3769.086,3846.055,3846.055,3763.848,3703.87,3607.723,3567.452,2952.008,3580.6317,-188.4543,,
2015-03-17,3733.961,3757.122,3762.575,3716.809,3639.589,3576.199,3547.293,2952.008,3547.26295,-186.69805,,
