,avge,avge2,count,days,ma,scope,sum,sum2
249,165.391881176,175.030608518,1700,180,ma5,0.08,281166.198,297552.03448
250,171.526497468,189.60922238,2370,180,ma10,0.08,406517.799,449373.85704
251,187.231304557,201.420237896,2699,180,ma20,0.08,505337.291,543633.22208
252,182.306521251,188.558858371,1694,190,ma5,0.08,308827.247,319418.70608
253,186.679531951,203.595516835,2363,190,ma10,0.08,441123.734,481096.20628
254,197.476529346,212.958433046,2692,190,ma20,0.08,531606.817,573284.10176
255,186.041134752,197.933599929,1692,200,ma5,0.08,314781.6,334903.65108
256,188.445384583,213.725671241,2361,200,ma10,0.08,444919.553,504606.3098
257,199.308524358,223.310293075,2689,200,ma20,0.08,535940.622,600481.37808
258,194.996688204,210.057671772,1687,210,ma5,0.08,328959.413,354367.29228
259,202.696213526,229.577372761,2351,210,ma10,0.08,476538.798,539736.40336
260,211.485212393,235.317104248,2679,210,ma20,0.08,566568.884,630414.52228
261,194.200292683,213.2312474,1681,220,ma5,0.08,326450.692,358441.72688
262,209.41765314,238.842364545,2341,220,ma10,0.08,490246.726,559129.9754
263,223.153419633,244.852513181,2669,220,ma20,0.08,595596.477,653511.35768
264,202.768218974,223.236862673,1676,230,ma5,0.08,339839.535,374144.98184
265,223.032531103,251.991657417,2331,230,ma10,0.08,519888.83,587392.55344
266,233.640132381,255.298673276,2659,230,ma20,0.08,621249.112,678839.17224
267,212.260919113,232.42453692,1669,240,ma5,0.08,354263.474,387916.55212
268,233.466619089,261.89453503,2326,240,ma10,0.08,543043.356,609166.68848
269,242.87444566,265.517306853,2650,240,ma20,0.08,643617.281,703620.86316
270,213.380122744,238.02795006,1662,250,ma5,0.08,354637.764,395602.453
271,234.754175151,267.211458326,2318,250,ma10,0.08,544160.178,619396.1604
272,241.696844234,268.693031773,2645,250,ma20,0.08,639288.153,710693.06904
273,214.978251054,239.16475528,1661,260,ma5,0.08,357078.875,397252.65852
274,229.80545384,264.339916031,2318,260,ma10,0.08,532689.042,612739.92536
275,235.789457845,264.308293762,2645,260,ma20,0.08,623663.116,699095.437
276,211.338590223,237.82820787,1657,270,ma5,0.08,350188.044,394081.34044
277,227.455280035,265.799527433,2314,270,ma10,0.08,526331.518,615060.10648
278,231.903620167,264.418051418,2638,270,ma20,0.08,611761.75,697534.81964
279,209.017065336,237.174466473,1653,280,ma5,0.08,345505.209,392049.39308
280,222.180841352,264.310268279,2307,280,ma10,0.08,512571.201,609763.78892
281,225.387385084,261.837807641,2628,280,ma20,0.08,592318.048,688109.75848
282,204.863366889,236.152196264,1649,290,ma5,0.08,337819.692,389414.97164
283,217.735043062,261.944859487,2299,290,ma10,0.08,500572.864,602211.23196
284,221.499561497,257.886620336,2618,290,ma20,0.08,579885.852,675147.17204
285,204.458301944,231.64320695,1646,300,ma5,0.08,336538.365,381284.71864
286,217.023802706,255.006384618,2291,300,ma10,0.08,497201.532,584219.62716
287,220.91795092,250.766861626,2608,300,ma20,0.08,576154.016,653999.97512
288,202.299334146,223.914596415,1640,310,ma5,0.08,331770.908,367219.93812
289,220.359066521,250.21739116,2285,310,ma10,0.08,503520.467,571746.7388
290,222.943838722,247.533496243,2598,310,ma20,0.08,579208.093,643092.02324
291,201.449252902,224.15632518,1637,320,ma5,0.08,329772.427,366943.90432
292,225.427212308,254.586718189,2275,320,ma10,0.08,512846.908,579184.78388
293,224.337046754,247.556173539,2588,320,ma20,0.08,580584.277,640675.37712
294,200.288262094,224.296359143,1633,330,ma5,0.08,327070.732,366275.95448
295,227.285965654,255.742639648,2271,330,ma10,0.08,516166.428,580791.53464
296,225.901856093,247.442656743,2585,330,ma20,0.08,583956.298,639639.26768
297,191.337237745,218.513600172,1632,340,ma5,0.08,312262.372,356614.19548
298,215.509292016,248.523178933,2267,340,ma10,0.08,488559.565,563402.04664
299,213.146632518,239.165878743,2577,340,ma20,0.08,549278.872,616330.46952
300,143.443194135,157.637704123,1705,150,ma5,0.09,244570.646,268772.28553
301,143.140922657,165.186880546,2379,150,ma10,0.09,340532.255,392979.58882
302,148.991956458,173.084586494,2710,150,ma20,0.09,403768.202,469059.2294
303,147.810783451,164.30048412,1704,160,ma5,0.09,251869.575,279968.02494
304,148.994925568,170.386469907,2378,160,ma10,0.09,354309.933,405179.02544
305,157.751527306,180.560459262,2710,160,ma20,0.09,427506.639,489318.8446
306,153.97668662,170.976483281,1704,170,ma5,0.09,262376.274,291343.92751
307,156.08086291,179.047841867,2378,170,ma10,0.09,371160.292,425775.76796
308,170.571815061,192.501417704,2709,170,ma20,0.09,462079.047,521486.34056
309,165.391881176,180.073688482,1700,180,ma5,0.09,281166.198,306125.27042
310,171.526497468,191.359045895,2370,180,ma10,0.09,406517.799,453520.93877
311,187.231304557,203.500737006,2699,180,ma20,0.09,505337.291,549248.48918
312,182.306521251,193.872631033,1694,190,ma5,0.09,308827.247,328420.23697
313,186.679531951,205.235390592,2363,190,ma10,0.09,441123.734,484971.22797
314,197.476529346,214.874760037,2692,190,ma20,0.09,531606.817,578442.85402
315,186.041134752,203.59940633,1692,200,ma5,0.09,314781.6,344490.19551
316,188.445384583,215.669751063,2361,200,ma10,0.09,444919.553,509196.28226
317,199.308524358,225.985775794,2689,200,ma20,0.09,535940.622,607675.75111
318,194.996688204,216.258240373,1687,210,ma5,0.09,328959.413,364827.65151
319,202.696213526,232.201638664,2351,210,ma10,0.09,476538.798,545906.0525
320,211.485212393,238.691854554,2679,210,ma20,0.09,566568.884,639455.47835
321,194.200292683,219.371182885,1681,220,ma5,0.09,326450.692,368762.95843
322,209.41765314,241.816632328,2341,220,ma10,0.09,490246.726,566092.73628
323,223.153419633,248.790947906,2669,220,ma20,0.09,595596.477,664023.03996
324,202.768218974,229.879982542,1676,230,ma5,0.09,339839.535,385278.85074
325,223.032531103,255.718965774,2331,230,ma10,0.09,519888.83,596080.90922
326,233.640132381,259.545601173,2659,230,ma20,0.09,621249.112,690131.75352
327,212.260919113,239.487843619,1669,240,ma5,0.09,354263.474,399705.211
328,233.466619089,265.798962218,2326,240,ma10,0.09,543043.356,618248.38612
329,242.87444566,269.779407053,2650,240,ma20,0.09,643617.281,714915.42869
330,213.380122744,245.624730181,1662,250,ma5,0.09,354637.764,408228.30156
331,234.754175151,271.603200151,2318,250,ma10,0.09,544160.178,629576.21795
332,241.696844234,273.528454715,2645,250,ma20,0.09,639288.153,723482.76272
333,214.978251054,247.965227098,1661,260,ma5,0.09,357078.875,411870.24221
334,229.80545384,269.305351756,2318,260,ma10,0.09,532689.042,624249.80537
335,235.789457845,269.554210726,2645,260,ma20,0.09,623663.116,712970.88737
336,211.338590223,247.636172559,1657,270,ma5,0.09,350188.044,410333.13793
337,227.455280035,271.246789576,2314,270,ma10,0.09,526331.518,627665.07108
338,231.903620167,269.587219382,2638,270,ma20,0.09,611761.75,711171.08473
339,209.017065336,247.789601065,1653,280,ma5,0.09,345505.209,409596.21056
340,222.180841352,270.325890689,2307,280,ma10,0.09,512571.201,623641.82982
341,225.387385084,267.591842591,2628,280,ma20,0.09,592318.048,703231.36233
342,204.863366889,247.357153924,1649,290,ma5,0.09,337819.692,407891.94682
343,217.735043062,268.884942853,2299,290,ma10,0.09,500572.864,618166.48362
344,221.499561497,264.592404954,2618,290,ma20,0.09,579885.852,692702.91617
345,204.458301944,243.435107199,1646,300,ma5,0.09,336538.365,400694.18645
346,217.023802706,263.091394116,2291,300,ma10,0.09,497201.532,602742.38392
347,220.91795092,258.188755472,2608,300,ma20,0.09,576154.016,673356.27427
348,202.299334146,236.668696207,1640,310,ma5,0.09,331770.908,388136.66178
349,220.359066521,259.733506057,2285,310,ma10,0.09,503520.467,593491.06134
350,222.943838722,256.542874784,2598,310,ma20,0.09,579208.093,666498.38869
351,201.449252902,237.034036255,1637,320,ma5,0.09,329772.427,388024.71735
352,225.427212308,264.756908919,2275,320,ma10,0.09,512846.908,602321.96779
353,224.337046754,257.383085352,2588,320,ma20,0.09,580584.277,666107.42489
354,200.288262094,236.402720784,1633,330,ma5,0.09,327070.732,386045.64304
355,227.285965654,265.436468573,2271,330,ma10,0.09,516166.428,602806.22013
356,225.901856093,257.224172464,2585,330,ma20,0.09,583956.298,664924.48582
357,191.337237745,230.377589608,1632,340,ma5,0.09,312262.372,375976.22624
358,215.509292016,257.765066753,2267,340,ma10,0.09,488559.565,584353.40633
359,213.146632518,248.991377315,2577,340,ma20,0.09,549278.872,641650.77934
360,143.443194135,162.908064985,1705,150,ma5,0.1,244570.646,277758.2508
361,143.140922657,168.948357713,2379,150,ma10,0.1,340532.255,401928.143
